date,USA,Germany,Poland,Hungary,France,China,UK
2023-05-18,2,1,0,2,3,22,3
2020-06-21,5,1,0,0,0,3,0
2021-05-11,15,0,2,0,0,3,0
2022-02-26,129,20,30,15,10,47,28
2021-07-16,0,0,0,0,0,0,0
2022-08-23,8,2,1,0,0,3,4
2023-11-06,1,0,0,0,0,0,0
2022-03-12,35,16,4,0,11,14,6
2024-01-06,2,0,2,0,0,0,8
2022-02-12,18,8,0,0,2,0,0
2021-05-23,0,2,0,0,0,0,2
2022-06-27,5,12,3,0,11,1,11
2021-09-05,1,1,0,0,0,0,0
2020-08-06,6,1,2,0,0,1,0
2022-08-17,4,0,1,0,6,7,1
2022-02-15,16,10,0,1,0,12,3
2023-03-31,59,5,7,4,13,16,10
2021-05-25,6,5,0,1,2,0,0
2020-10-09,4,0,0,0,0,2,0
2022-07-01,8,8,0,0,0,8,4
2022-04-20,15,12,0,2,5,11,5
2024-01-12,17,2,2,0,0,14,9
2021-03-30,5,0,0,0,0,8,0
2022-10-03,20,4,23,0,1,10,2
2022-07-12,6,2,3,0,0,6,0
2023-04-24,16,2,5,0,5,18,8
2023-02-15,3,1,0,1,0,4,4
2021-08-06,3,0,0,0,0,2,0
2022-05-31,11,1,0,0,4,2,1
2021-03-31,4,0,0,0,0,21,9
2021-12-16,9,10,2,0,1,2,2
2021-12-03,5,3,0,0,1,1,0
2023-02-10,2,2,0,1,3,7,3
2023-11-07,5,3,5,0,2,5,3
2021-10-03,1,0,0,0,0,0,2
2023-07-12,16,3,0,0,16,18,2
2023-06-23,18,0,0,0,6,5,1
2022-10-19,11,2,0,0,2,6,3
2022-07-06,6,0,0,0,0,21,3
2022-09-21,77,36,0,5,14,8,6
2022-11-17,14,0,7,3,1,8,1
2021-06-01,12,0,1,0,2,0,3
2023-03-27,15,15,8,0,30,17,1
2021-03-20,6,0,0,0,0,3,0
2022-12-30,12,0,3,0,1,14,0
2021-03-11,0,0,1,0,0,0,0
2021-12-31,2,0,1,0,3,0,0
2023-05-05,6,7,10,0,0,12,3
2023-02-20,7,2,0,0,2,29,2
2020-07-30,13,2,0,0,0,0,0
2023-11-30,0,2,3,0,0,6,0
2021-10-28,1,2,0,0,0,2,1
2020-11-01,0,0,0,0,4,0,0
2021-06-17,13,0,1,0,0,3,0
2023-09-24,12,0,0,0,0,2,0
2023-08-24,14,6,0,0,2,6,4
2020-10-29,3,0,0,0,9,2,4
2023-06-15,8,3,0,4,2,18,5
2023-11-15,6,0,0,0,0,13,1
2020-06-10,5,2,0,0,2,2,1
2023-03-28,20,1,6,0,4,8,2
2023-08-18,1,2,1,0,1,11,2
2022-07-05,6,6,0,0,2,5,8
2023-07-07,23,1,2,0,1,12,0
2020-09-08,8,3,0,0,0,4,1
2024-02-19,32,3,2,6,0,16,5
2021-06-27,1,0,0,0,1,0,0
2023-08-05,18,2,0,0,0,12,7
2021-09-01,7,2,0,0,0,1,0
2022-04-19,21,10,0,0,2,18,3
2023-12-13,4,0,0,3,3,5,0
2021-10-19,12,0,0,0,0,0,10
2020-02-08,4,0,1,0,10,1,0
2022-01-08,11,1,0,0,0,0,0
2023-12-27,2,0,0,0,0,6,0
2022-12-13,14,1,3,0,13,12,2
2024-03-06,5,5,5,2,2,5,5
2020-08-26,3,3,0,0,3,0,0
2021-11-06,1,0,0,0,0,1,0
2021-08-04,2,1,0,0,0,3,1
2023-01-23,2,2,0,0,2,7,1
2020-01-26,1,0,4,0,0,0,1
2021-07-05,3,0,0,0,9,0,0
2022-06-09,9,5,19,0,17,17,23
2021-12-12,4,6,0,0,9,0,6
2021-12-02,11,4,0,0,0,1,0
2023-08-23,2,1,0,7,2,3,0
2023-11-13,2,0,0,7,2,3,1
2021-07-06,15,0,0,0,8,0,0
2022-01-20,9,5,0,0,0,3,2
2023-02-08,13,0,0,0,0,6,3
2021-05-14,9,0,0,0,0,4,2
2023-11-26,8,0,0,0,2,2,0
2020-09-26,8,0,0,0,2,2,0
2023-05-29,9,0,4,2,2,9,3
2022-02-13,9,8,0,0,0,4,0
2020-10-12,0,0,4,0,5,0,0
2023-04-21,7,5,0,4,3,15,5
2022-05-02,19,14,4,5,0,16,11
2020-02-26,22,1,0,0,1,0,1
2020-03-13,3,0,0,0,1,1,0
2022-12-29,14,0,0,0,2,0,1
2020-03-31,0,0,0,0,0,0,4
2022-05-12,12,4,2,0,3,12,2
2020-09-29,10,0,0,0,0,0,1
2023-07-04,2,2,1,0,2,21,1
2022-04-12,24,8,0,3,22,18,1
2023-11-23,2,0,1,4,1,11,0
2020-12-19,9,0,0,0,0,0,0
2022-04-16,8,0,3,0,9,1,8
2020-01-10,11,0,5,0,0,0,1
2021-02-10,11,0,0,0,2,0,0
2023-07-11,11,0,0,0,2,19,0
2021-03-14,4,0,0,0,0,0,0
2023-10-07,19,0,1,0,0,9,0
2022-01-19,11,3,0,0,2,0,0
2021-09-25,1,3,0,0,0,2,0
2022-09-12,6,8,0,0,2,14,0
2021-06-10,28,4,1,3,0,4,9
2021-02-06,11,18,3,0,13,0,2
2020-04-23,4,0,0,0,0,1,0
2023-04-20,10,12,2,4,2,5,0
2022-06-05,0,0,0,2,4,3,1
2023-12-18,2,1,2,3,0,6,0
2021-12-09,15,1,5,0,0,11,0
2021-12-05,2,4,0,0,0,0,0
2020-08-23,5,0,0,0,0,0,2
2021-03-07,0,0,0,0,0,2,0
2023-06-01,11,10,0,2,6,3,11
2023-10-25,8,2,0,2,4,10,0
2021-09-16,2,0,0,0,2,0,0
2022-11-15,57,4,0,0,9,38,4
2020-12-14,21,0,0,0,0,2,2
2023-06-02,8,1,0,2,2,27,2
2020-09-09,10,7,0,0,0,1,0
2020-09-20,2,0,0,0,0,0,0
2020-03-02,12,0,0,0,0,2,0
2023-05-28,12,6,0,0,1,10,0
2023-08-22,2,6,0,0,0,6,0
2022-04-02,14,0,4,8,5,16,0
2023-01-13,8,9,0,0,13,9,0
2020-06-17,6,4,0,0,0,4,0
2021-11-02,5,0,0,1,0,0,0
2020-01-08,0,0,0,0,0,3,0
2020-12-26,2,0,0,0,0,0,0
2021-07-28,9,2,0,0,2,0,4
2023-11-24,10,0,0,2,2,4,0
2023-09-17,2,0,0,0,4,0,4
2021-09-29,0,0,0,0,2,0,3
2020-05-17,3,3,0,0,0,0,2
2021-06-28,6,0,0,0,0,0,0
2022-09-10,1,2,5,0,0,2,2
2020-01-30,7,0,0,0,2,1,2
2023-02-09,7,4,0,0,1,1,5
2021-02-11,4,3,0,0,0,0,0
2020-02-20,24,0,2,0,0,0,26
2022-04-11,26,9,4,0,8,12,14
2021-03-15,4,0,3,0,0,0,0
2022-09-30,81,10,23,1,25,9,9
2022-10-22,4,0,0,5,0,7,0
2022-06-10,11,0,2,0,0,23,18
2020-04-30,4,0,0,0,0,2,1
2021-10-08,0,0,0,0,0,4,0
2021-12-26,4,2,0,0,0,0,0
2023-07-25,23,0,3,0,1,14,12
2023-01-25,11,10,4,3,0,5,0
2020-09-18,7,2,9,0,0,1,0
2021-07-20,0,0,1,3,0,0,0
2021-05-18,1,0,0,0,0,9,1
2020-03-07,6,1,0,0,0,0,0
2022-09-18,12,3,3,4,2,7,2
2020-12-13,0,4,0,0,0,0,0
2022-11-05,8,0,3,3,1,4,0
2023-09-07,20,0,0,1,8,4,5
2022-03-29,34,10,14,4,6,18,6
2020-08-02,1,2,0,0,0,0,0
2021-06-18,7,2,1,0,0,0,0
2023-02-16,1,6,2,2,0,12,2
2023-05-24,7,0,0,2,2,23,4
2021-07-04,0,0,0,0,0,3,0
2020-10-15,0,3,2,0,4,3,7
2022-01-03,3,0,0,0,0,0,0
2023-02-11,4,2,0,0,3,1,0
2020-07-27,7,1,0,0,0,0,0
2023-03-01,10,3,0,3,2,16,1
2022-06-14,6,4,0,0,0,13,0
2020-10-27,0,2,0,0,0,4,0
2021-09-27,1,12,0,0,0,0,0
2021-09-20,6,0,0,0,2,2,3
2022-03-26,41,5,15,0,3,16,7
2022-06-15,0,4,0,1,0,24,4
2022-05-17,15,2,0,9,3,6,2
2022-01-12,5,2,0,0,0,3,0
2022-04-26,26,14,5,0,2,12,4
2020-12-22,8,5,0,0,2,0,0
2023-11-20,2,1,0,0,0,10,1
2023-02-04,7,5,0,2,2,1,0
2021-06-08,5,3,3,0,0,0,0
2023-02-18,8,13,0,0,0,22,3
2020-02-16,9,7,2,0,2,2,0
2023-05-25,33,0,0,9,2,21,2
2020-08-08,5,0,0,0,0,0,0
2023-08-16,7,6,3,0,3,16,2
2023-03-10,2,0,0,0,0,12,5
2023-02-24,15,16,6,0,22,43,5
2020-04-26,0,0,0,0,0,0,2
2020-09-01,5,0,0,0,0,7,0
2020-01-23,3,0,13,0,0,1,0
2021-09-30,2,1,0,0,1,0,0
2021-02-27,0,0,0,0,0,0,0
2024-01-29,10,0,0,2,0,9,2
2020-08-20,9,1,0,0,0,1,2
2021-04-01,1,0,0,0,0,8,5
2021-09-23,3,1,0,0,0,0,1
2020-02-17,9,4,0,0,0,0,0
2020-11-14,0,4,0,0,0,0,0
2022-10-12,42,3,0,0,6,4,10
2020-06-23,5,3,5,0,2,3,0
2020-06-24,4,6,0,0,0,0,0
2020-06-25,4,10,3,0,0,0,0
2021-08-10,4,0,1,0,0,2,0
2021-06-30,8,2,0,0,0,0,1
2024-01-07,0,4,0,2,1,0,3
2022-11-09,18,2,2,5,0,8,0
2023-05-23,10,10,0,11,6,18,6
2021-12-06,3,5,6,0,2,2,0
2021-03-28,0,2,3,0,0,4,0
2021-08-14,0,0,0,0,0,2,6
2020-09-25,7,1,0,0,0,2,1
2022-01-16,3,3,0,0,0,0,0
2024-02-24,12,8,5,4,6,0,3
2020-06-27,3,0,3,0,0,0,0
2023-09-19,12,4,0,0,2,7,3
2022-02-10,11,5,0,0,6,2,1
2023-03-14,32,0,0,3,0,11,2
2023-02-13,2,5,1,1,2,5,0
2021-04-02,11,0,0,0,0,1,0
2021-05-19,11,3,0,0,0,0,3
2020-06-18,13,2,0,0,0,2,1
2022-04-18,25,2,0,0,1,10,0
2023-03-22,10,0,0,0,0,27,0
2023-07-03,5,2,0,3,0,8,5
2022-01-05,2,0,2,0,0,0,0
2023-01-01,8,0,0,0,0,9,0
2021-09-13,2,2,0,0,0,4,0
2021-02-17,7,1,1,1,0,0,0
2021-08-17,0,0,2,0,0,0,0
2023-01-21,5,2,0,0,0,1,0
2021-02-14,2,0,0,0,0,0,2
2020-09-03,13,23,1,0,3,5,3
2023-06-08,20,4,0,0,0,6,4
2020-02-03,0,0,0,0,0,2,0
2022-07-14,6,3,0,0,0,3,2
2020-10-28,2,0,0,0,0,5,0
2023-04-23,4,6,0,3,2,7,2
2023-06-25,11,2,0,0,2,3,1
2021-08-19,1,2,0,0,2,1,0
2020-02-04,11,0,1,0,2,1,0
2021-07-31,3,0,0,0,0,0,0
2022-08-12,7,3,0,0,4,13,0
2020-08-09,0,0,0,0,0,0,0
2023-03-21,15,2,1,0,3,48,0
2022-11-16,25,1,20,0,2,17,8
2022-08-25,19,2,5,0,2,7,0
2020-08-05,4,2,0,0,0,0,0
2021-11-13,9,0,1,0,1,1,0
2024-01-26,5,0,0,0,13,3,1
2024-02-21,39,3,8,0,0,14,7
2020-10-21,3,0,0,0,0,1,3
2020-01-15,4,0,0,0,0,1,0
2022-05-26,11,5,0,2,2,5,8
2023-05-31,12,12,4,0,0,17,15
2023-11-12,1,1,0,3,1,4,0
2020-01-22,3,0,7,0,4,2,0
2020-08-29,4,2,0,0,1,0,1
2023-09-22,7,9,0,0,0,8,1
2021-04-15,29,0,6,0,2,2,1
2022-05-04,8,4,0,12,10,15,5
